Planning_Area,Subzone,Latitude,Longitude
Rochor,Victoria,1.299663606,103.8529896
Seletar,Pulau Punggol Barat,1.425169193,103.8786983
Seletar,Pulau Punggol Timor,1.419040611,103.8910875
Seletar,Seletar,1.408995084,103.8815865
Seletar,Seletar Aerospace Park,1.41235799,103.866483
Sembawang,Admiralty,1.453388183,103.8251528
Sembawang,Sembawang Central,1.446372812,103.8177614
Sembawang,Sembawang East,1.447501073,103.831422
Sembawang,Sembawang North,1.456997493,103.8156952
Sembawang,Sembawang Springs,1.440955786,103.8250228
Sembawang,Sembawang Straits,1.458673965,103.836486
Sembawang,Senoko North,1.463777274,103.8033571
Sembawang,Senoko South,1.453498675,103.8075346
Sembawang,The Wharves,1.463216258,103.8201548
Sengkang,Anchorvale,1.39443671,103.8891971
Sengkang,Compassvale,1.384902659,103.889967
Sengkang,Fernvale,1.395169989,103.8765069
Sengkang,Lorong Halus North,1.381678239,103.9107687
Sengkang,Rivervale,1.387612738,103.9050035
Sengkang,Sengkang Town Centre,1.391595219,103.897691
Sengkang,Sengkang West,1.395534748,103.8631509
Serangoon,Lorong Chuan,1.348471212,103.8632206
Serangoon,Seletar Hills,1.383475191,103.8663589
Serangoon,Serangoon Central,1.352233039,103.8706752
Serangoon,Serangoon Garden,1.362738354,103.8666628
Serangoon,Serangoon North,1.374381173,103.8733841
Serangoon,Serangoon North Industrial Estate,1.374784487,103.8647585
Serangoon,Upper Paya Lebar,1.346566794,103.8770473
Simpang,Pulau Seletar,1.443544276,103.8648685
Simpang,Simpang North,1.447161405,103.8457976
Simpang,Simpang South,1.434466046,103.8563936
Simpang,Tanjong Irau,1.454241602,103.8509279
Singapore River,Boat Quay,1.287354601,103.8481891
Singapore River,Clarke Quay,1.289599336,103.8445792
Singapore River,Robertson Quay,1.290329083,103.8367789
Southern Islands,Sentosa,1.249721286,103.82967
Straits View,Straits View,1.27125166,103.8587732
Sungei Kadut,Gali Batu,1.399988435,103.7629153
Sungei Kadut,Kranji,1.434328023,103.7593359
Sungei Kadut,Pang Sua,1.412620474,103.7482725
Sungei Kadut,Reservoir View,1.431742313,103.7467586
Sungei Kadut,Turf Club,1.418780662,103.7635396
Tampines,Simei,1.340674172,103.9540046
Tampines,Tampines East,1.354435122,103.9512331
Tampines,Tampines North,1.366244677,103.9390257
Tampines,Tampines West,1.348528693,103.9359492
Tampines,Xilin,1.329247028,103.9690957
Tanglin,Chatsworth,1.297034615,103.8234023
Tanglin,Nassim,1.313860847,103.8243573
Tanglin,Ridout,1.303434275,103.8114687
Tanglin,Tyersall,1.314586744,103.8129453
Tengah,Plantation,1.3578478,103.7363078
Tengah,Garden,1.3608743,103.7341683
Tengah,Park,1.365965,103.7355238
Tengah,Brickland,1.3713819,103.7414611
Toa Payoh,Bidadari,1.341103936,103.8749447
Toa Payoh,Boon Teck,1.335268642,103.8530252
Toa Payoh,Braddell,1.340538965,103.8495969
Toa Payoh,Joo Seng,1.336597466,103.8823266
Toa Payoh,Kim Keat,1.331887616,103.8586364
Toa Payoh,Lorong 8 Toa Payoh,1.341261711,103.857102
Toa Payoh,Pei Chun,1.336789937,103.858607
Toa Payoh,Potong Pasir,1.333056043,103.8656379
Toa Payoh,Sennett,1.333255718,103.8736233
Toa Payoh,Toa Payoh Central,1.332641044,103.8459859
Toa Payoh,Toa Payoh West,1.33992257,103.8417937
Toa Payoh,Woodleigh,1.340035896,103.8663
Tuas,Tengeh,1.338476477,103.6502486
Tuas,Tuas Bay,1.318337837,103.6439147
Tuas,Tuas North,1.326745918,103.6512451
Tuas,Tuas Promenade,1.331985435,103.6349087
Tuas,Tuas View,1.301154528,103.6334253
Tuas,Tuas View Extension,1.269582961,103.6203631
Western Water Catchment,Western Water Catchment,1.382129768,103.6897298
Woodlands,Greenwood Park,1.44729465,103.7848696
Woodlands,Midview,1.4398885,103.7915317
Woodlands,North Coast,1.447544501,103.7741876
Woodlands,Senoko West,1.451171667,103.7966696
Woodlands,Woodgrove,1.429279374,103.7785519
Woodlands,Woodlands East,1.441249878,103.8019273
Woodlands,Woodlands Regional Centre,1.438601985,103.7845357
Woodlands,Woodlands South,1.429504314,103.7938665
Woodlands,Woodlands West,1.437463649,103.775652
Yishun,Khatib,1.417999426,103.8286516
Yishun,Lower Seletar,1.409058467,103.8462368
Yishun,Nee Soon,1.407516281,103.8146435
Yishun,Northland,1.438094714,103.8379965
Yishun,Springleaf,1.40140911,103.8240607
Yishun,Yishun Central,1.426705246,103.8376594
Yishun,Yishun East,1.427902459,103.8465872
Yishun,Yishun South,1.418460517,103.8378164
Yishun,Yishun West,1.431139046,103.8310116
