"Planning_Area","Subzone","Latitude","Longitude"
"Hougang","Hougang East",1.37632272674,103.897368843
"Hougang","Hougang West",1.3732012403,103.88682874
"Hougang","Kangkar",1.36962095862,103.898217285
"Hougang","Kovan",1.362930314,103.88068021
"Hougang","Lorong Ah Soo",1.35683069959,103.886606363
"Hougang","Lorong Halus",1.36962168481,103.904038357
"Hougang","Tai Seng",1.34377153684,103.887618997
"Hougang","Trafalgar",1.38106569991,103.881405985
"Jurong East","International Business Park",1.3263416163,103.748087124
"Jurong East","Jurong Gateway",1.33310704523,103.742680986
"Jurong East","Jurong Port",1.30962828789,103.719711234
"Jurong East","Jurong River",1.3194152167,103.728795093
"Jurong East","Lakeside",1.3338391551,103.731754814
"Jurong East","Penjuru Crescent",1.30385715486,103.74033082
"Jurong East","Teban Gardens",1.31486094183,103.743155584
"Jurong East","Toh Guan",1.33748667796,103.746106122
"Jurong East","Yuhua East",1.34041301708,103.738836668
"Jurong East","Yuhua West",1.34700992878,103.731972099
"Jurong West","Boon Lay Place",1.34586370794,103.711148262
"Jurong West","Chin Bee",1.33497839028,103.713197753
"Jurong West","Hong Kah",1.3498945126,103.721069576
"Jurong West","Jurong West Central",1.34013951553,103.702098706
"Jurong West","Kian Teck",1.33151190851,103.697903998
"Jurong West","Safti",1.33460322532,103.683172214
"Jurong West","Taman Jurong",1.33451003801,103.721196983
"Jurong West","Wenya",1.35570380699,103.707101976
"Jurong West","Yunnan",1.34455428242,103.694878698
"Kallang","Bendemeer",1.32220227252,103.861856238
"Kallang","Boon Keng",1.31488415692,103.872300577
"Kallang","Crawford",1.3007628619,103.863841179
"Kallang","Geylang Bahru",1.3216390137,103.870249655
"Kallang","Kallang Bahru",1.31407726328,103.865480279
"Kallang","Kampong Bugis",1.30816412151,103.870502483
"Kallang","Kampong Java",1.31370664248,103.850314934
"Kallang","Lavender",1.31082161336,103.859146522
"Kallang","Tanjong Rhu",1.30059104578,103.875910706
"Lim Chu Kang","Lim Chu Kang",1.43064278529,103.719285508
"Mandai","Mandai East",1.42678141142,103.813003878
"Mandai","Mandai Estate",1.42656167552,103.825075778
"Mandai","Mandai West",1.41831686396,103.784337179
"Marina East","Marina East",1.28851730739,103.87235163
"Marina South","Marina South",1.28053129898,103.865628533
"Marine Parade","East Coast",1.29969127134,103.908675268
"Marine Parade","Katong",1.30726504731,103.902335112
"Marine Parade","Marina East (Marine Parade)",1.29221591433,103.884676534
"Marine Parade","Marine Parade",1.30281465148,103.907574251
"Marine Parade","Mountbatten",1.3016708798,103.891272105
"Museum","Bras Basah",1.29624847896,103.849430304
"Museum","Dhoby Ghaut",1.29884993481,103.845180029
"Museum","Fort Canning",1.29403259717,103.846023722
"Newton","Cairnhill",1.30664959638,103.837655573
"Newton","Goodwood Park",1.31358675572,103.834296927
"Newton","Istana Negara",1.30533912904,103.844342208
"Newton","Monk's Hill",1.30909702919,103.84172963
"Newton","Newton Circus",1.31194399911,103.838416264
"Newton","Orange Grove",1.31005518289,103.830337053
"Novena","Balestier",1.32551345556,103.851067395
"Novena","Dunearn",1.32618983436,103.820069643
"Novena","Malcolm",1.32312770906,103.833949892
"Novena","Moulmein",1.31764421667,103.842820235
"Novena","Mount Pleasant",1.33382056539,103.828963383
"Orchard","Boulevard",1.30537276782,103.83257213
"Orchard","Somerset",1.30062480181,103.838663299
"Orchard","Tanglin",1.30481861577,103.825796628
"Outram","China Square",1.28438642996,103.846883324
"Outram","Chinatown",1.27979006624,103.84249902
"Outram","Pearl's Hill",1.28561279974,103.839420237
"Outram","People's Park",1.28155785391,103.840138834
"Pasir Ris","Flora Drive",1.35930124931,103.966321885
"Pasir Ris","Loyang East",1.36797860882,103.973426401
"Pasir Ris","Loyang West",1.37701041937,103.970753706
"Pasir Ris","Pasir Ris Central",1.37206455003,103.947939358
"Pasir Ris","Pasir Ris Drive",1.3688667892,103.959409933
"Pasir Ris","Pasir Ris Park",1.3786815648,103.955844457
"Pasir Ris","Pasir Ris Wafer Fab Park",1.38884074018,103.928680044
"Pasir Ris","Pasir Ris West",1.37928604681,103.939812188
"Paya Lebar","Airport Road",1.35156968337,103.897415945
"Paya Lebar","Paya Lebar East",1.35561205454,103.923763162
"Paya Lebar","Paya Lebar North",1.37316507768,103.925799334
"Paya Lebar","Paya Lebar West",1.37394006423,103.91091996
"Paya Lebar","Plab",1.35749654047,103.911421129
"Pioneer","Benoi Sector",1.31775387027,103.686569536
"Pioneer","Gul Basin",1.304906913,103.676423956
"Pioneer","Gul Circle",1.31538244914,103.668829902
"Pioneer","Joo Koon",1.32559577375,103.679521771
"Pioneer","Pioneer Sector",1.30045108935,103.66145185
"Punggol","Coney Island",1.40832722125,103.92253451
"Punggol","Matilda",1.40269296974,103.897027947
"Punggol","Northshore",1.41620831406,103.906729216
"Punggol","Punggol Canal",1.40667418608,103.917864906
"Punggol","Punggol Field",1.39472343607,103.911260449
"Punggol","Punggol Town Centre",1.40901648015,103.901632398
"Punggol","Waterway East",1.40124498134,103.914759058
"Queenstown","Commonwealth",1.30494716445,103.799881598
"Queenstown","Dover",1.30386658554,103.779545368
"Queenstown","Ghim Moh",1.31091545845,103.78748531
"Queenstown","Holland Drive",1.30833666767,103.794783785
"Queenstown","Kent Ridge",1.28509987375,103.792568365
"Queenstown","Margaret Drive",1.29722401448,103.80818415
